lname                                              count
LIDGUERRE                                          13
VON KRAUSKOPT                                      1
RUE                                                16
ROTHFUSZ                                           1
ABBOTTIN MEMORY OF EDDIE SALTER/HAROLD ABBOTT      1
COUNT                                              2
COTNI                                              1
HREBISON                                           1
ABOUSAMAK                                          2
RAMPEN                                             1
SELLITTI                                           1
ZAKHAREVICH                                        1
CERONI                                             1
TITCHKOSKY                                         3
RUYTENBEEK                                         1
OLDROYD                                            4
MIHALYKO                                           1
LUXEMBURGER                                        1
FARZBOD                                            1
HERSHEY                                            6
A. PORTER                                          1
JANOWITZ                                           4
HOYNE                                              1
CORDICK                                            23
SCHOENHALS                                         4
MAKKIGAK                                           2
SAMBOY                                             1
WORSTER                                            3
BARTE                                              1
SCRAWTON                                           1
COLLINGS-MACPHEE                                   1
KOULOURIOTIS                                       1
GLENEWINKEL                                        1
ST. JACQUES                                        2
JREIGE                                             6
GROINUS                                            1
MADWID                                             4
DHARMA                                             1
MCKOEN                                             1
KISHALOWICH                                        5
VAN DER BOET                                       1
KRAWCZYNSKY                                        1
LAHUSEN                                            3
SANDE                                              19
BAUMACK                                            1
MACLENNAN                                          245
MURLEY                                             57
GAHAGAN                                            7
BANCARZ                                            13
BOHAYCHUK                                          16
LANGVAND                                           3
JONTAS                                             1
TUGADE                                             1
SEBULSKI                                           3
JAILLEE                                            1
HYDEN                                              2
KILIMNIK                                           2
CLOSAS                                             1
SINDLATER                                          1
FAUSTMANN                                          4
DAVLOOR                                            3
MOROSTHAN                                          1
LABELLE/IN MEM OF LOUIS RAYMON                     1
GOYMER                                             3
DAUPHINAIS                                         25
BRANDSCHWEI                                        1
KLASFON                                            2
FENZ                                               2
BERGO                                              1
T MORRIS                                           1
DORMAN                                             48
MANLY                                              7
KRAKAU                                             2
PUGA                                               2
DEVILLA                                            3
GLEGG                                              1
LIPOVSZKY                                          1
ERGETE                                             1
BOTSIN                                             2
TRIDICO                                            1
Hatko                                              1
LORRIMAN                                           1
PETRAK                                             1
SALOMIE                                            1
LIUE                                               1
AWAIT                                              2
MC TOSH                                            1
PAULIE                                             1
AKINPELU                                           2
ANGIELSKI                                          6
SIGLER                                             1
HYRCUN                                             1
BUKIEWICZ                                          1
BRATUSHESKY                                        8
MUCKPAH                                            2
G.SIMPSON                                          1
MCCARTEN                                           3
HINSCHE                                            4
STENZEL                                            8
BAUCH                                              7
HENSELWOOD                                         3
PENJOR                                             1
VANRAMELE                                          1
HNATKOWSKI                                         1
RABDANOV                                           1
BUCHSMANN                                          1
Pepinski                                           1
Zieminek                                           1
BANDIA                                             1
PAL SEKHON MD                                      1
JABAJAB                                            1
TURKMANI                                           1
YACKOBECK                                          1
KRATZIG                                            1
SCHLAUCH                                           1
SOUDER                                             1
LICKISS                                            3
SHABBIR                                            2
GOLAIY                                             3
OKOH                                               1
ADEFANYA                                           1
ONCHULENKO                                         4
FINALL                                             1
SCHOENEMANN                                        1
LEONARDO                                           15
KLAGES                                             30
COMRIE                                             26
GILLIN                                             6
ANGLOPOLIS                                         1
WAKARUK                                            6
KASKIW                                             7
BOCK SEET                                          1
MYCHAJLUK                                          1
SEBIAL                                             1
Hrynevich                                          1
ASTILLEJO                                          1
MARIQ                                              1
VANI                                               10
VEERENHUIS                                         1
VAN LANDUIT                                        1
PIELAQ                                             1
GOUDRIAAN                                          2
SAULNIER-BERT                                      1
RUPP                                               13
FURROW                                             27
DIERDORF                                           1
DEBIAK                                             1
STEPPER                                            3
WAAL                                               2
PABALAN                                            2
MORAE                                              1
MZAMBI                                             1
BANAYAT                                            1
SOUCY DVM                                          1
BABBA                                              1
POLSINELLI                                         1
QADAN                                              1
HALLEE                                             1
LUCZEK                                             1
MILUM                                              5
SHIBELITH                                          1
KEARNES                                            1
JUN KIM                                            1
SANDHU CA                                          1
SVETLIZA                                           1
BULISCHAK                                          2
ENDERLEIN                                          1
LIZNICK                                            2
FASZER                                             1
RAWLAKE                                            11
PODAIMA                                            19
MICHALICK                                          3
DECHAMPLAIN                                        9
DESFONDS                                           2
VERREAULT                                          23
KORICAN                                            1
PEARMAIN                                           1
HAEGERT                                            1
SIANDER                                            2
CEORGE                                             1
DJIKIC                                             1
SOTOMIL                                            1
DE BELEN                                           2
RENFORD                                            1
ANUSIC                                             1
KANIMBA                                            1
ABASALIZADEH                                       2
REZKALLA                                           2
WAHALEN                                            1
KEVORKIAN                                          1
SIARKIEWICZ                                        1
PODOLINSKY                                         2
LUDUC                                              1
FEELEUS                                            7
BALANUIK                                           1
DECLOEDT                                           2
MR  BOUCHARD                                       1
DUBIN                                              2
TABRIZI                                            5
OR RENE                                            1
ZUCCOLINI                                          2
MARLATTE                                           3
KATAREY                                            4
HACQUOIL                                           3
BOWER                                              201
FURY-ALLEN                                         1
MELENDEZ                                           9
DECAIRE                                            10
BUNYAN                                             24
MC GOWAN                                           43
HALFKNIGHT                                         1
CONFIENT                                           1
DESJAILAIS                                         1
GEEREGAT                                           1
ALOZIE                                             1
SUKHDEO                                            1
KIBWAA                                             3
BAEHNK                                             1
GRATZ                                              4
ALBAKRI                                            1
FZACILKO                                           1
HYED                                               1
HUGG                                               3
rosenkranz                                         7
DEANS                                              52
EVENDEN                                            5
STEINMITZ                                          1
CROZSMAN                                           4
CROWSHURST                                         1
REIF                                               8
GUITTON                                            1
FONTANA"WEGELIN                                    1
BURCH ALAN                                         1
ROSSATO                                            2
STONESTAND                                         8
SETTERFIELD                                        1
PUPP                                               1
AMDII                                              1
CHITOLIE                                           2
CAUILAN                                            1
MARKER                                             1
VOLPEL                                             1
DRAXLER                                            2
PAPPERT                                            1
SABERI                                             4
MINDELL                                            2
OLAECHEA                                           1
G MAC DONALD DDS                                   1
BARKNAN                                            1
HARTIGAN AGT                                       1
WERNSEN                                            1
WOLLMAN                                            53
BESSENGER                                          1
FINKELMAN                                          3
HAJIAN                                             2
ANNESS                                             3
COLLETTE                                           316
JAMES MAZEROLLE                                    1
DE PEDRINA                                         1
AZE                                                1
MAGNAN                                             19
AIE                                                1
OBERHOLZER                                         4
VANOORSPRONK                                       1
PENDERSON                                          1
BENARAGAMA                                         1
FRUDD                                              1
VELEY                                              4
BONPHOUX                                           1
MALEFANT                                           1
E CHRISTIE                                         1
ZANNELLA                                           1
STRONSKI                                           7
DEVALERIOLA                                        4
MERILOVICH                                         1
VILLANUEVA                                         16
GELLION                                            1
FINDAY                                             3
ZAMORA                                             11
BRAUN-HUETTNER                                     1
HADDRELL                                           3
SILKIN                                             1
SLIWKA                                             3
BARGEN                                             14
THINH                                              1
KLEMOLA                                            1
AWUAH                                              1
TWUN                                               1
KAYA                                               4
HABKE                                              4
SCHLAMDA                                           1
THIBADEAUX                                         1
LJEPIC                                             2
MONTES                                             19
CORRA                                              10
STEENBURGH                                         2
HUNIK                                              4
LINDMAN                                            2
TRIPLETT                                           4
CHENAIL                                            2
DEJUN                                              1
VERSNEL                                            1
F ELLIS                                            1
SCHMUHL                                            1
PINILLA                                            1
RADLINSKY                                          3
KLINTWORTH                                         1
AELDERS                                            1
YOVA                                               1
SRITHARAN                                          1
PLANCHAK                                           2
ST-ANDRE                                           2
LEAVENS                                            10
GALLUP-MOEN                                        2
SAUFERT                                            9
MESIICK                                            1
GILLINGHAM                                         385
BUIE                                               13
KACAVENDA                                          2
GIBBARD                                            15
SOKE                                               6
SCHINDELER                                         3
MOISANFONTAINE                                     1
CHAFFE                                             3
DIOURI                                             1
PHANKI                                             1
OLIVANT                                            1
HAVERTY                                            2
PICKEL- COLE                                       1
ABOUZEKI                                           1
R WILLIAMS                                         1
RICKWOOD                                           5
BACKUS                                             25
SCHIGILIANO                                        1
HUCKVALE                                           3
PANTELUK                                           15
SOYE                                               1
KAPINGA                                            1
AFABLE                                             1
KRITER                                             1
ZHUKALIN                                           1
FLICKER                                            1
KACZMARCZYK                                        2
WINTAL                                             1
MRAOVIC                                            1
EVERLY                                             1
NISHIJIMA                                          2
NEKTARIOS                                          1
MONCREISS                                          1
KOTZ                                               10
HARVESTER                                          1
ROUFAIL                                            1
MURPHY-DUPERE                                      1
VUJANOVIC                                          3
PAULITSCHKE                                        1
DUBANOW                                            1
POERSCH                                            8
PAGONIS                                            1
ARIKRISHNA                                         1
DUNTON                                             3
LA VIOLETTE                                        3
PERTELSON                                          1
SHUFFLER                                           3
HAGMAN                                             25
PHILBRICK                                          2
MATHANY                                            1
GIOCHRIST                                          1
BORSITS                                            1
SCHAFFLAMB                                         1
APPAW                                              1
ALCHEIKH                                           1
DEPUTAT                                            1
CHODIRLER                                          1
LA FIGUE                                           1
ODEY                                               1
CLARKE-HAUGHN                                      1
TRENCIANSKA                                        1
LINGAT                                             1
BRIBEAU                                            1
CAMPAMA                                            1
PARK-LEITOLD                                       1
MC KERVILL                                         1
CANADAHOMEGUIDE                                    1
KROPH                                              1
CASAYURAN                                          2
CRAFTY                                             1
QUICKSTAD                                          2
O`QUINN-CONROD                                     1
SCHEIDEMAN                                         7
WAGER                                              22
STOW                                               14
LAWRENUK                                           1
RISCALLAH                                          1
KLEIN NIBBELINK                                    1
MAHH                                               1
MBANZA                                             2
PAFFENHOLZ                                         1
T A CAMPBELL                                       1
AVILEZ                                             1
CARUSO-PETERS                                      1
GATAN                                              1
NIE                                                4
ENEFER                                             1
ZELOWSKY                                           2
RYNN                                               2
ARASON                                             8
CHRETIAN                                           1
SPOONHEIM                                          1
KETCHEN                                            4
MC KESSOCK                                         1
SAWCHUK                                            260
BONN                                               31
GIPSON                                             2
WAN                                                51
APPLEGATH                                          3
SEARSON                                            4
Townsend-holt                                      1
KABANOV                                            1
HANATSCHEK                                         1
LESLIE YOUNG                                       1
JEFFRIE                                            1
DESJARDINS-PERRON                                  1
LUDESCHER                                          1
HINCHEY "DECEASED"                                 1
LAVASEUR                                           1
SCHMERK                                            1
RUHLAND                                            3
KROEZEN                                            2
DONNG                                              1
CHUPARA                                            1
BURGESS OD                                         1
SUFFERN                                            2
LILEY                                              4
ENURO                                              1
MARASCO                                            10
TOOTHILL                                           4
BASEY                                              5
MANTIL                                             1
TURCOTTE                                           264
TOTTEN                                             118
BERNHARD                                           18
MARCHINKO                                          11
COBLE                                              4
MELNBARDIS                                         1
KAWULKA                                            3
PETROPAVLIS                                        1
NEDIMOVIC                                          1
FEILD                                              3
SOMJEN                                             1
KLAMISKI                                           1
WRENCIK                                            1
NATSI                                              1
BANFILED                                           1
DAVID JACKSON                                      1
SANDAL                                             5
MALYSA                                             5
SACCI                                              1
SELLATHAMBY                                        2
CLYMER                                             2
KRANROD                                            3
VAN HELLEMOND                                      2
PHIPPEN                                            17
KARY                                               40
DOOTJES                                            1
BABRAH                                             1
OLSON SR.                                          1
HAHMO                                              3
KRUNICK                                            1
BRUSSELERS                                         1
HREN                                               4
BUCCHANNON                                         1
SCHARNBERG                                         9
FEIGE                                              7
PEAT-QUENNELL                                      1
KATCHANOVSKI                                       2
GERAYLI                                            1
SUARA                                              1
ALAGAPPAN                                          1
MATHOORA                                           1
LUKYAMCHIKOV                                       1
WOOLER                                             2
JADAV                                              2
MORAWEJ                                            1
RUSHTON                                            341
BEEBEE                                             2
DODSWORTH                                          37
MIZERIT                                            1
LA ROCQUE                                          20
MCANANY                                            4
MCKECHENIE                                         1
PORIOR                                             1
ROSBEROUGH                                         1
STEYAERT                                           3
DATZKIW                                            1
DOHAN                                              4
CIRDDLE                                            1
KIELTY                                             3
VAN RIET                                           1
LANSKAIL                                           2
MANGUBAT                                           3
DOSHI                                              4
OGLEND                                             1
KAMLANI                                            1
ROERTS                                             1
MAH JONG                                           1
DICEMAN                                            4
KARUNYASOPON                                       3
WORSLEY                                            29
LIMBERIS                                           2
DURDON                                             1
STACY                                              17
LARRE                                              18
NEITLING                                           5
WRYCRAFT                                           1
DAY-HOLLOWAY                                       2
HARYATT                                            1
STIGLMAYR                                          2
SIDO                                               3
DZUIBAK                                            1
BERZENJI                                           2
TRANE                                              1
NEDJASI                                            2
CHAWDRY                                            1
OHOW                                               2
BREHAUGHT                                          1
BIFFORD                                            3
COLBOURNE                                          322
SRAN                                               42
WILKENSON                                          7
BEELER                                             27
YANOR                                              2
TEASDALE PE                                        1
BOLDISON                                           1
BUJAN                                              2
PAXSON                                             3
BIALIK                                             2
HUSSELL                                            1
MOLOFY                                             2
CRICKNER                                           1
BATAL                                              2
RORVIK                                             1
MAC CUMBER                                         1
SPILCHEN                                           20
HORRIGAN                                           10
TRINH DDS                                          1
BOOS                                               27
INGALLS                                            81
CLAUS                                              17
JING                                               11
GUERRA                                             32
DROHAN                                             14
HUDDEL                                             1
DICDICAN                                           1
BURGRIDGE                                          1
ALIMASIBE                                          1
KEIBEL                                             5
HTAY                                               1
PYNE-MERCIER                                       1
FROFF                                              1
J BAIN AGT                                         1
SUDARSANABHAI                                      1
CRANNA                                             6
RUBY BALL                                          1
ZETTERSTON                                         1
ALEMAYEHU                                          3
COMPTON-SMITH                                      1
FANGEONI                                           1
LINEKER                                            7
KOLLOFRATH                                         1
LYNG                                               3
SCARROW                                            27
DEMEESTER                                          9
TRIBO                                              1
GEMMA                                              3
GRINHAM                                            12
PILJEK                                             2
BECKSTEAD                                          18
MC GUCKEN                                          1
CESSELLI                                           1
Wiiamson                                           1
VANDEREEN                                          1
UTRERA BARRIENTOS                                  1
ITT                                                1
PELLERN                                            1
KOSTASZEK                                          1
WAYTUCK                                            1
HAEMMERLI                                          1
EAKETT                                             2
HENNIGH                                            2
PENDRY                                             2
DELGRANDE                                          1
MILAD                                              2
MUKHI                                              3
BUOTE                                              83
GOYER                                              33
MC CARRON                                          20
KAREMAKER                                          1
SESE                                               3
BRISDON                                            5
MASMOOD                                            1
DE-VRIES                                           1
MAQUINLSTA                                         1
COARDA                                             1
PELLANT                                            2
PTACK                                              1
FOFFEN                                             1
STEPHEN-JAMES                                      1
BENNITZ                                            1
AQUISBERG                                          1
TREASARDEN                                         1
NATSKI                                             1
CARCHITI                                           1
BARLETT                                            14
LESKOWSKI                                          4
FAYBUSH                                            2
VOYAGE                                             3
BERTHELETT                                         1
IGANATIUK                                          1
NEMANISHEN                                         7
LETERTE                                            7
BREBNER                                            15
SCHROE                                             1
SWIER                                              1
PANAICH                                            1
DUSCH                                              1
FIRTEL                                             1
MOSSA                                              4
SOMMERFELT                                         3
SLIPCHUK                                           5
CROUSCE                                            1
MALLIARIA                                          1
ACCHIONE                                           1
SCHLATMAN                                          1
PORTY                                              1
EREMIONKHALE                                       1
PANIPEKEESICK                                      2
IVASHCHUK                                          1
VASILIOU                                           2
TERMAST                                            1
JOSEBACHBILI                                       1
WYMESS                                             1
STUCKA                                             2
PEPPLE                                             1
SHEATH                                             1
GALOS                                              2
BODEN                                              28
PEDERSEN MARKE                                     1
GOGERLA                                            3
POCZA                                              4
ARTURI                                             1
PODELSKY                                           1
REMIGIO                                            1
LAWLESS JR                                         1
ALSAEDI                                            1
DROMBERG                                           2
LEDDIE                                             1
MORGUN                                             1
GROSERY                                            1
POTYRA                                             2
QUINONES                                           4
NAGASAN                                            2
HINRICHSEN                                         8
ROSGEN                                             2
KLASENS                                            1
HUGGINS                                            44
MOSIMANN                                           7
KINZER                                             3
STEINBRENNER                                       6
SWEETSER                                           1
ROSSNAGEL                                          8
WANNENMACHER                                       1
OSHIAME                                            1
Lnke                                               1
Jayatunge                                          1
RIELANDER                                          1
MONEVA                                             1
AKELLO                                             1
TSISSEREV                                          1
VIKING EXTER                                       1
JOBAN PUTRA DDS                                    1
REGI                                               1
BASLEY                                             3
SABATINE                                           1
ZOGRAFOS                                           4
HITCHCOX                                           9
MURRINS                                            7
WAVRYK                                             2
JARARUSE                                           16
HILSENTEGER                                        7
STADDEN                                            1
GANDHA                                             1
MARCYNIUK AGT                                      1
ALTURA                                             1
SCHIRE                                             1
NKEMKA                                             1
GRZESLO                                            1
WICKWIRE FOSTER                                    1
BILLEDO                                            1
REIDIGER                                           1
QUIMBY                                             3
MC COSH                                            4
KRATSCHMAR                                         1
GANGOPADHYAY                                       1
HARTNOLL                                           1
LOZINSKY                                           33
D. KENNEDY (DECEASED)                              1
SCHIKOWSKY                                         8
DEGENSTIEN                                         7
SUNDBERG                                           22
DOEDELL                                            1
Doshewnek                                          1
Triferes                                           1
NEIS-EVANS                                         1
SUDDEN                                             1
NOVOKSHONOFF                                       1
REIDI                                              1
MATANY                                             1
PERISH                                             1
DANIEL-LENSON                                      1
NIEMCZUK                                           1
KACHMARSKI                                         14
KAPTEIN                                            11
SLINN-EVGINGTON                                    1
BEAULAC (WAKAN)                                    1
AKOPOV                                             1
PSHEBNISKI                                         1
VANTLAND                                           1
ENGELAND                                           1
HIRSEKORN                                          11
BHANOT                                             7
BURGAT                                             1
FATTAH                                             5
BEAUPERTUIS                                        1
STUMPH                                             9
MC NIEL                                            5
LOWENBERGER                                        21
KLAVA                                              1
MEZAR                                              1
GEBRETATIOS                                        1
MANGOFF                                            1
OWOLAAGBA                                          1
MARTTIN                                            1
LEASNER                                            1
FRIDRIKSDOTTIR                                     2
LONGUPEE                                           1
MILLFONG                                           1
HORNER SR                                          1
HILDISHEIM                                         3
MC CRODAN OD                                       1
BELLIVEA                                           1
MCGUINESS                                          7
ATTERSALL                                          1
LAZOVSKIS                                          1
SMITTON                                            2
ALASAR                                             2
MANNINGA                                           2
BHARUCHA                                           1
ELNABI                                             1
BRICKSTOCK                                         1
KRALOVIC                                           1
SADCAT                                             1
SCHOEFER                                           1
A ERHARDT                                          1
HUVVARD                                            1
MBINDO                                             1
DESARMEAU                                          1
KARULOVIC                                          1
WHLIE                                              1
FICIUR                                             2
BELAI                                              1
ELLEN BAILEY                                       1
BABONICH                                           1
DORBAL                                             2
SHARAZI                                            1
IN MEMORY OF HERBERT NELSON "BERT"                 1
KARISSE                                            2
DALLIING                                           1
NIKOLA                                             2
DAVESHER                                           1
GOODAIRE                                           1
LORETTE                                            47
JAKAB                                              5
ALLERSTON                                          2
LINDERMAN                                          9
CAWTHORN                                           4
WEAVER-BENNETT                                     1
VASLYUK                                            1
ANORUO                                             1
DAMOLIN                                            1
BRANBNER                                           1
LECOCK                                             1
MARTENSSON                                         1
LERTONO                                            1
NATER                                              2
CONRAD SR                                          1
SHAYKO                                             1
SVEDERUS                                           1
BREWER/IN MEMORY OF HELEN BREWER                   1
TEMPA                                              1
LEYGERMAN                                          1
COMONT                                             1
BERTONE                                            2
AGUILAR                                            53
STORFIE                                            2
ROSHAU                                             1
KUTCHER                                            39
WICIJOWSKI                                         4
SCHEELE                                            8
SINAVICH                                           1
CICKERS                                            1
WERBOWETSKY                                        1
GOWRALI                                            1
EMBO                                               1
PASLOSKE                                           4
AUDI                                               2
HEE AHN                                            1
SADLEIR                                            2
J WARD                                             1
KOUTROUBIS                                         1
COERS                                              3
JAEDICKE                                           1
SHLOSSER                                           2
TORHAUG                                            1
ATTAR                                              5
NEWING                                             1
CANDOW                                             18
MIRANDA                                            98
FILICE                                             14
JONG                                               23
SHILLITTO                                          6
PLUIGER                                            1
BRUHJELL                                           2
